  BTCUSD_Yr1  ,  BTCUSD_Yr2  ,  BTCUSD_Yr3  ,  BTCUSD_Yr4  ,  BTCUSD_Yr5  ,  HashPrice_Yr1  ,  HashPrice_Yr2  ,  HashPrice_Yr3  ,  HashPrice_Yr4  ,  HashPrice_Yr5  
"139,032","232,208","461,341","393,882","866,526",98,44,42,27,90
"169,074","255,276","381,987","751,069","619,971",84,43,29,25,27
"152,903","192,576","301,778","762,327","735,586",97,48,30,14,50
"97,251","267,713","429,060","661,569","766,631",53,39,21,40,56
"208,748","127,923","277,004","307,904","706,459",73,52,38,17,60
"118,284","301,163","609,464","576,141","711,357",28,39,42,17,56
"171,582","159,007","281,424","738,498","471,347",59,26,39,17,47
"279,196","371,310","294,907","705,560","567,802",64,41,12,24,27
"241,758","272,008","247,299","419,897","488,388",40,44,30,22,66
"275,743","185,799","430,433","1,018,561","564,318",57,38,48,31,33
"73,346","319,395","509,227","1,174,134","582,383",66,39,39,24,39
"164,607","180,147","675,052","473,569","767,479",76,61,54,34,41
"192,884","290,780","572,344","440,951","401,110",77,16,23,18,53
"228,722","130,174","788,034","1,023,130","291,795",69,34,54,22,80
"171,330","443,320","415,716","774,921","900,856",47,32,37,26,59
"48,232","229,961","319,794","453,573","497,017",101,29,33,11,24
"171,740","393,297","465,371","667,474","1,058,093",37,42,30,31,58
"38,877","161,843","477,163","1,109,763","723,917",84,30,41,28,43
"252,695","347,136","579,187","861,293","355,855",57,39,35,31,51
"163,475","210,605","543,937","338,182","538,181",47,49,30,27,51
"154,086","231,791","619,721","442,384","712,179",85,39,30,22,39
"181,949","358,694","523,312","990,833","799,497",93,41,37,24,26
"101,424","265,233","483,103","797,132","396,015",87,33,36,21,54
"166,370","434,628","390,182","627,978","399,922",64,43,32,20,59
"85,952","187,212","389,187","1,107,750","321,853",85,62,20,24,44
"180,305","340,112","638,978","1,033,081","510,543",95,31,20,19,57
"142,757","349,912","696,104","478,306","863,481",99,47,32,22,32
"75,336","298,244","354,461","749,890","645,233",105,20,19,8,63
"109,364","253,770","547,619","308,897","621,194",59,35,54,35,43
"156,682","376,653","220,714","696,003","394,363",96,37,41,29,44
"172,088","176,779","544,775","415,462","319,914",50,33,50,23,55
"237,651","468,463","421,966","634,743","715,053",73,30,26,26,62
"149,742","260,374","682,017","777,215","1,025,657",60,47,36,24,60
"159,334","376,851","605,143","1,138,291","462,690",89,36,31,34,47
"152,884","313,290","129,206","1,082,218","949,314",44,46,36,26,45
"161,018","440,393","495,058","1,171,299","919,416",84,24,46,24,38
"190,562","302,485","163,104","651,800","706,859",97,42,27,13,41
"225,387","230,566","473,358","474,575","388,363",25,46,39,36,40
"156,419","229,530","524,971","-91,999","759,150",88,51,42,30,59
"136,345","335,680","350,679","889,756","477,526",48,27,37,24,61
"260,994","264,252","377,544","1,178,096","725,410",80,23,27,14,67
"162,805","151,217","546,810","813,280","521,315",92,33,35,16,20
"184,561","391,404","560,999","448,367","778,962",50,51,34,24,34
"135,197","275,932","372,203","717,494","799,056",59,50,35,23,73
"255,287","308,730","393,935","860,449","772,070",77,27,40,16,37
"114,611","231,947","617,856","426,243","579,844",49,35,18,27,66
"209,296","404,645","538,186","622,632","337,743",91,43,45,18,38
"137,290","355,234","241,454","1,354,884","619,643",46,16,41,20,46
"142,794","87,195","321,353","557,167","817,109",52,48,36,27,37
"112,055","255,615","456,702","159,382","606,414",31,49,18,16,43
"62,490","368,692","442,107","735,097","816,165",62,34,28,20,54
"133,637","447,807","381,678","664,466","791,412",65,37,46,13,62
"74,284","127,889","615,769","1,204,832","601,065",75,30,22,15,52
"213,876","205,924","700,459","845,798","652,980",48,29,41,33,67
"79,233","193,670","562,302","626,627","212,446",45,30,47,21,70
"127,649","265,141","585,604","756,130","813,670",66,48,18,12,51
"92,475","139,413","579,231","832,515","624,890",72,22,48,9,38
"125,010","217,561","465,252","833,091","949,843",66,31,23,11,49
